Compound,Date,Negative,Neutral,Positive,Tweet Count,Tweet text,User
0.0,Tue Apr 10 17:25:04 +0000 2018,0.0,1.0,0.0,23,#mobility is here to stay. @APTA_Transit trying to turn the oldest ship in the #SmartCities fleet: Public #transit… https://t.co/gEjZ95BhrL,@APTA_Transit
0.772,Tue Apr 10 16:47:47 +0000 2018,0.0,0.688,0.312,24,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Tue Apr 10 16:02:11 +0000 2018,0.0,0.688,0.312,25,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Tue Apr 10 16:02:00 +0000 2018,0.0,0.688,0.312,26,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.0,Tue Apr 10 15:43:30 +0000 2018,0.0,1.0,0.0,27,RT @APTA_Transit: https://t.co/iNuedb2jYw,@APTA_Transit
0.772,Tue Apr 10 14:55:00 +0000 2018,0.0,0.688,0.312,28,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Tue Apr 10 14:44:02 +0000 2018,0.0,0.688,0.312,29,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Tue Apr 10 13:39:22 +0000 2018,0.0,0.688,0.312,30,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Tue Apr 10 13:35:40 +0000 2018,0.0,0.688,0.312,31,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.772,Tue Apr 10 13:29:04 +0000 2018,0.0,0.688,0.312,32,RT @APTA_Transit: Public transportation supports jobs in more ways than one.  It creates jobs by attracting investments near public transit…,@APTA_Transit
0.459,Tue Apr 10 06:18:41 +0000 2018,0.0,0.75,0.25,33,"RT @TheRapid: Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzL…",@APTA_Transit
0.296,Tue Apr 10 02:53:52 +0000 2018,0.0,0.896,0.104,34,RT @CUTRUSF: Join us for our next CUTR Transportation Webcast:  Understanding the Effects of Demographic and Socio-Economic Factors on Publ…,@APTA_Transit
0.459,Tue Apr 10 01:36:23 +0000 2018,0.0,0.75,0.25,35,"RT @TheRapid: Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzL…",@APTA_Transit
0.459,Tue Apr 10 01:36:12 +0000 2018,0.0,0.75,0.25,36,"RT @TheRapid: Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzL…",@APTA_Transit
0.0,Tue Apr 10 00:56:30 +0000 2018,0.0,1.0,0.0,37,RT @APTA_Transit: https://t.co/iNuedb2jYw,@APTA_Transit
0.0,Tue Apr 10 00:12:59 +0000 2018,0.0,1.0,0.0,38,RT @APTA_Transit: https://t.co/iNuedb2jYw,@APTA_Transit
0.44,Tue Apr 10 00:00:39 +0000 2018,0.0,0.861,0.139,39,"RT @APTA_Transit: ""I look forward to our continued relationship to make #publictransit better and safer."" Acting @FTA_DOT Adminstrator Jane…",@APTA_Transit
0.459,Mon Apr 09 23:35:06 +0000 2018,0.0,0.7,0.3,40,"Transit-oriented development strengthens communities: https://t.co/0haDJnxXsR #Voices4Transit
@APTA_Transit https://t.co/pFzLq8YB6M",@APTA_Transit
0.0,Mon Apr 09 23:16:36 +0000 2018,0.0,1.0,0.0,41,RT @APTA_Transit: https://t.co/iNuedb2jYw,@APTA_Transit
0.0,Mon Apr 09 21:29:40 +0000 2018,0.0,1.0,0.0,42,RT @APTA_Transit: https://t.co/iNuedb2jYw,@APTA_Transit
0.0,Mon Apr 09 21:08:15 +0000 2018,0.0,1.0,0.0,43,cc @narprail @ranbarton @PetraTodorovich @CommutingLarry @emmagf @railwaygazette @RailwayAge @lumintree… https://t.co/kjMYRqOlTd,@APTA_Transit
0.296,Mon Apr 09 19:45:14 +0000 2018,0.0,0.879,0.121,44,Join us for our next CUTR Transportation Webcast:  Understanding the Effects of Demographic and Socio-Economic Fact… https://t.co/WDtQTTxAg8,@APTA_Transit
0.382,Mon Apr 09 15:01:40 +0000 2018,0.0,0.822,0.178,45,@moovelUS launches FareShare transit benefits system at @APTA_Transit Conference. Take a look here: https://t.co/6MvaiUmoLt,@APTA_Transit
0.459,Mon Apr 09 14:57:55 +0000 2018,0.0,0.885,0.115,46,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Mon Apr 09 14:57:26 +0000 2018,0.0,0.885,0.115,47,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Mon Apr 09 14:54:14 +0000 2018,0.0,0.885,0.115,48,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Mon Apr 09 14:53:12 +0000 2018,0.0,0.885,0.115,49,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Mon Apr 09 14:49:52 +0000 2018,0.0,0.885,0.115,50,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.459,Mon Apr 09 14:42:53 +0000 2018,0.0,0.885,0.115,51,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.25,Mon Apr 09 13:01:39 +0000 2018,0.0,0.895,0.105,52,"#MondayMotivation According to @APTA_Transit, more than 50,731 jobs are created per $1 billion of investment in pub… https://t.co/Kuk5Bb1JrQ",@APTA_Transit
0.42,Sun Apr 08 13:24:10 +0000 2018,0.0,0.843,0.157,53,RT @APTA_Transit: #PublicTransit keeps America moving! Our public transportation #infrastructure supports mobility and independent living f…,@APTA_Transit
0.0,Sun Apr 08 08:11:25 +0000 2018,0.0,1.0,0.0,54,RT @CowLines_Mob: @MVillalante @transporTTicket @TxDOT @Transport_EU @UITPpress @APTA_Transit @Trans_Ticketing @POLISnetwork @carfreecitydu…,@APTA_Transit
0.0,Sun Apr 08 07:49:32 +0000 2018,0.0,1.0,0.0,55,@MVillalante @transporTTicket @TxDOT @Transport_EU @UITPpress @APTA_Transit @Trans_Ticketing @POLISnetwork… https://t.co/L1kPGWmmCD,@APTA_Transit
0.178,Sun Apr 08 07:43:02 +0000 2018,0.225,0.516,0.258,56,RT @MVillalante: Smart ticketing a powerful weapon in the multimodal battle @transporTTicket @TxDOT @Transport_EU @UITPpress @APTA_Transit…,@APTA_Transit
0.494,Sat Apr 07 14:49:14 +0000 2018,0.0,0.849,0.151,57,"RT @SharedUseCntr: A Dialogue on Strengthening Sustainability and Equity in Federal and State Policy w/ @MZStrat of MZ Strategies, @darnell…",@APTA_Transit
0.361,Sat Apr 07 13:46:45 +0000 2018,0.0,0.872,0.128,58,RT @APTA_Transit: A majority of Mayors surveyed stated affordable housing &amp; #publictransit were biggest needs to attract millennials. https…,@APTA_Transit
0.273,Sat Apr 07 13:46:35 +0000 2018,0.0,0.896,0.104,59,"RT @APTA_Transit: DYK: Every $10 million in capital investment in #publictransportation yields $30 million in increased business sales.
htt…",@APTA_Transit
0.459,Sat Apr 07 13:46:22 +0000 2018,0.0,0.885,0.115,60,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
0.0,Sat Apr 07 13:46:03 +0000 2018,0.0,1.0,0.0,61,RT @APTA_Transit: https://t.co/zxMKT7Ulqs,@APTA_Transit
0.0,Sat Apr 07 10:41:24 +0000 2018,0.0,1.0,0.0,62,RT @APTA_Transit: https://t.co/zxMKT7Ulqs,@APTA_Transit
0.459,Sat Apr 07 00:30:30 +0000 2018,0.0,0.885,0.115,63,RT @APTA_Transit: We applaud Congress for standing up for public transit &amp; increasing investment in its 2018 budget.  Keep it up for 2019 a…,@APTA_Transit
