,User,Date,Tweet text,Compound,Positive,Neutral,Negative,Tweet Count
29,@APTA_Transit,Fri Apr 13 09:01:53 +0000 2018,"@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit ""...… https://t.co/WzX5wiZh7w",0.0,0.0,1.0,0.0,29
30,@APTA_Transit,Fri Apr 13 08:19:22 +0000 2018,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Congr… https://t.co/8I4qquXj0j,0.0,0.0,1.0,0.0,30
31,@APTA_Transit,Fri Apr 13 05:17:57 +0000 2018,@Skarinathan @BrentToderian @UrbanEdm @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire… https://t.co/3Ijo6YLvni,0.0,0.0,1.0,0.0,31
32,@APTA_Transit,Fri Apr 13 04:08:21 +0000 2018,@GahertySandra @BrentToderian @UrbanEdm @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire… https://t.co/oKmWzI340f,0.0,0.0,1.0,0.0,32
33,@APTA_Transit,Fri Apr 13 03:19:15 +0000 2018,RT @GahertySandra: @BrentToderian @UrbanEdm @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit…,0.0,0.0,1.0,0.0,33
34,@APTA_Transit,Fri Apr 13 03:05:40 +0000 2018,RT @GahertySandra: @BrentToderian @UrbanEdm @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit…,0.0,0.0,1.0,0.0,34
35,@APTA_Transit,Fri Apr 13 02:34:32 +0000 2018,@BrentToderian @UrbanEdm @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag… https://t.co/vU6498v4ZG,0.0,0.0,1.0,0.0,35
36,@APTA_Transit,Thu Apr 12 17:04:28 +0000 2018,@BrentToderian @TransLink @grescoe @FreeRangeKids @5kids1condo @theoverheadwire @MassTransitmag @APTA_Transit Beaut… https://t.co/8ibh7fTH86,0.0,0.0,1.0,0.0,36
37,@APTA_Transit,Thu Apr 12 16:37:32 +0000 2018,RT @APTA_Transit: Congratulations to @RideKCTransit on their newly awarded grant for Bus Rapid Transit! https://t.co/BVuWJFGAMv,0.855,0.439,0.561,0.0,37
38,@APTA_Transit,Thu Apr 12 15:37:38 +0000 2018,RT @NADTCmobility: It’s great to be a part of the inclusive UTC #transportation #research conversation at #NationalMobilitySummit in DC tod…,0.625,0.186,0.814,0.0,38
39,@APTA_Transit,Thu Apr 12 15:33:58 +0000 2018,"RT @TheRapid: Did you know? Households in transit-oriented neighborhoods spend, on average, 15% of their income on transportation, compared…",0.0,0.0,1.0,0.0,39
40,@APTA_Transit,Thu Apr 12 15:33:24 +0000 2018,RT @APTA_Transit: Congratulations to @RideKCTransit on their newly awarded grant for Bus Rapid Transit! https://t.co/BVuWJFGAMv,0.855,0.439,0.561,0.0,40
41,@APTA_Transit,Thu Apr 12 15:16:35 +0000 2018,RT @NADTCmobility: It’s great to be a part of the inclusive UTC #transportation #research conversation at #NationalMobilitySummit in DC tod…,0.625,0.186,0.814,0.0,41
42,@APTA_Transit,Thu Apr 12 15:06:14 +0000 2018,RT @NADTCmobility: It’s great to be a part of the inclusive UTC #transportation #research conversation at #NationalMobilitySummit in DC tod…,0.625,0.186,0.814,0.0,42
